Sinhala Idiom,English Idiom,What It Means,Figurative Example,Sinhala Translation Example,Evaluation
අයනු ආයනු,A.B.C,"Something is very easy, simple, or requires little effort","He doesn't know even the A. B. C. of literary
criticism.","සාහිත්‍ය විවේචනයේ අයන්න වත් ඔහු නොදනියි.",Yes
අත් හිටලා,In abeyance,a state of not happening or being used at present,"That matter has now been in abeyance for a
number of years.",ඒ කරුණ දැන් අවුරුදු ගණනකට අත් හිටලාය.,Yes
වෙන කිසිත් නැතත්,Above all,more so than anything else,"Above all, be truthful.","වෙන කිසිත් නැතත්, සත්‍යවාදී වනු.",Yes
සඟවන්න්ට දෙයක් නැති,Above-board,"legitimate, honest, and open",His conduct has been entirely above-board.,ඔහුගේ හැසිරීම පිළිබඳව සැක කිරීමට හේතුවක් නැත.,Yes
ආක්‍රෝශ පරිසව - වචන,Terms of abuse,an unkind or unpleasant name to call someone,He constantly addressed her in terms of abuse.,"ඔහු නිරන්තරයෙන් ඇයට ආක්‍රෝශ පරිභව වචනයෙන්
කථා කළේය.",Yes
එක හිතින්,With one accord,in a united way,The audience praised the actor with one accord.,ප්‍රේක්ෂක ජනයා එක හඬින් නළුවාට ප්‍රශංසා කළෝය.,Yes
එක අඩින්,With one accord,in a united way,The audience praised the actor with one accord.,ප්‍රේක්ෂක ජනයා එක හඬින් නළුවාට ප්‍රශංසා කළෝය.,Yes
වාඩුව ගැනීමක්,An account to settle,to harm someone because they have harmed you in the past,"I have an account to settle with my uncle for
the lies he has told about me.","මා ගැන කියා තිබෙන බොරු වලට මගේ මාමාගෙන් මට
වාඩුවක් ගන්ට තියෙයි.",Yes
ගැම්මකට නැති,Of no account,used to describe a person of little use or importance,My advice to the young man was of no account.,තරුණයට මා දුන් අවවාදයෙන් වැඩක් නොවීය.,Yes
වැඩක් නැති,Of no account,used to describe a person of little use or importance,My advice to the young man was of no account.,තරුණයට මා දුන් අවවාදයෙන් වැඩක් නොවීය.,Yes
කාලක්‍රියා කළ,Gone to his account,someone has died,The old carpenter has gone to his account.,මහලු වඩුවා කාල ක්‍රියා කෙළේය.,Yes
බඩුත් එක්ක,In the act,in the process of,The thief was caught in the act.,සොරා බඩුත් එක්ක අසුවුණි.,Yes
උපොපන් ජාති අහලවත් නැති,Not to know from Adam,to have never met someone and not know anything about them,"Though he greeted me familiarly I did not know
him from Adam.","දැන ඇඳුනුම් කමින් ඔහු මට ආචාර කළ නුමුත්, මා
උපෝපන් ජාති ඔහු ගැන අහලාවත් නැත.",Yes
ඒ පිටට,In addition to,as well,"In addition to a fine, he was sent to prison.",දඩ ගැසීම පිටට ඔහු බන්ධනාගාරයටද යවන ලදී.,Yes
වැඩි වාසිය තියෙනවා,Have the advantage of,to be in a superior or advantageous position,"He had the advantage of having been to a
University.",විශ්ව විද්‍යාලයකට ගිය වැඩි වාසිය ඔහුට තිබුණි.,Yes
කල් වයස් ගිය කාලේ,At an advanced age,in old age,My mother died at an advanced age.,මගේ මව බොහෝ වයස් ගත වී කාලක්‍රියා කළාය.,Yes
වයසෙන් අඩු,Underage,too young to engage legally in a particular activity,He is still under age to enter the University.,විශ්ව විද්‍යාලයට ඇතුල් වීමට ඔහු තවම වයසෙන් අඩුය.,Yes
පුල පුලා,AlI agog,"very eager, excited, or full of expectation",He found the village all agog with expectation.,"මුළු ගම බලාපොරොත්තුවෙන් පුල පුලා සිටි බව ඔහු
දුටුවේය.",Yes
කටින් කට යන,In the air,About to happen,All our plans are still in the air.,"අපේ සෝජනා සියල්ලන්ම තවමත් අස්ථිර තත්ත්වයක
පවතියි.",Yes
ඇහැට නොපෙනී,Into thin air,used to refer to someone or something disappearing suddenly and completely,Owing to repeated misfortunes his early ambitions vanished into thin air.,"එක පිට එක වූ විපත්ති නිසා කලින් ඔහුට තිබුණු උදාර
පරමාර්ථ අතුරුදන් වී ගියේ ය.",Yes
අතුරුදන්වී,Into thin air,used to refer to someone or something disappearing suddenly and completely,Owing to repeated misfortunes his early ambitions vanished into thin air.,"එක පිට එක වූ විපත්ති නිසා කලින් ඔහුට තිබුණු උදාර
පරමාර්ථ අතුරුදන් වී ගියේ ය.",Yes
පුප්පනවා,Give oneself airs,act pretentiously or snobbishly,"It is because he has been abroad that he gives
himself such airs.",ඔහු එතරම් පුප්පන්නේ පිටරට ගොහින් තිබෙන නිසයි.,Yes
බොරුවට භය ගැන්වීම,False alarm,a warning given about something that fails to happen.,"There was a false alarm that a lion had jumped
out of a cage in the zoo.","සත් චෝද්‍යානයේ සිංහයෙකු කූඩුවෙන් එළියට පැනලා යයි
බොරුවට භය ගැන්වීමක් විය.",Yes
එක සීරුවෙන්,On the alert,"to be watchful and fully prepared for something, especially danger or an unexpected even","The whole village was on the alert to hear the
result of the election.","මැතිවරණයේ ප්‍රතිඵල ඇසීමට මුළු ගම එක සීරුවෙන් බලා
සිටියහ.",Yes
පණ පිටින්,Alive and kicking,prevalent and very active,The old servant is still alive and kicking.,"ඒ මහලු මෙහෙකරුවා තවමත් පණ පිටින් සිටියි.
",Yes
තවමත් පණ කඳ තියෙනවා,Alive and kicking,prevalent and very active,The old servant is still alive and kicking.,ඒ මහලු මෙහෙකරුවාට තවමත් පණ කඳ තියෙනවා.,Yes
